2026-05-05T21:55:02.4634614-05:00	1/120	FAIL	Scenario suite exited with 1. See 'C:\LLMRPG\LoreLegacyMonsters\Artifacts\LlmConvo\unity-scenario-suite.log'
2026-05-05T21:59:14.9822412-05:00	2/120	PASS	llm=0	eval=0
2026-05-05T22:03:18.2716608-05:00	3/120	PASS	llm=0	eval=0
2026-05-05T22:07:21.5670463-05:00	4/120	PASS	llm=0	eval=0
2026-05-05T22:11:23.9328064-05:00	5/120	PASS	llm=0	eval=0
2026-05-05T22:15:21.1834471-05:00	6/120	PASS	llm=0	eval=0
2026-05-05T22:19:27.5101877-05:00	7/120	PASS	llm=0	eval=0
2026-05-05T22:23:27.8009813-05:00	8/120	PASS	llm=0	eval=0
2026-05-05T22:27:40.2738980-05:00	9/120	PASS	llm=0	eval=0
2026-05-05T22:31:39.6660122-05:00	10/120	PASS	llm=0	eval=0
2026-05-05T22:35:35.8946697-05:00	11/120	PASS	llm=0	eval=0
2026-05-05T22:39:33.1932236-05:00	12/120	PASS	llm=0	eval=0
2026-05-05T22:44:03.7563513-05:00	13/120	PASS	llm=0	eval=0
2026-05-05T22:48:10.1045071-05:00	14/120	PASS	llm=0	eval=0
2026-05-05T22:52:16.3502795-05:00	15/120	PASS	llm=0	eval=0
2026-05-05T22:56:07.4305286-05:00	16/120	PASS	llm=0	eval=0
2026-05-05T23:00:10.7127256-05:00	17/120	PASS	llm=0	eval=0
2026-05-05T23:04:17.0603575-05:00	18/120	PASS	llm=0	eval=0
2026-05-05T23:08:32.6199138-05:00	19/120	PASS	llm=0	eval=0
2026-05-05T23:12:53.9180185-05:00	20/120	PASS	llm=0	eval=0
2026-05-05T23:17:06.3282789-05:00	21/120	PASS	llm=0	eval=0
2026-05-05T23:21:18.6046690-05:00	22/120	PASS	llm=0	eval=0
2026-05-05T23:25:24.7991026-05:00	23/120	PASS	llm=0	eval=0
2026-05-05T23:29:21.9002045-05:00	24/120	PASS	llm=0	eval=0
2026-05-05T23:34:04.5970581-05:00	25/120	PASS	llm=0	eval=0
2026-05-05T23:38:04.8781130-05:00	26/120	PASS	llm=0	eval=0
2026-05-05T23:42:20.3223713-05:00	27/120	PASS	llm=0	eval=0
2026-05-05T23:46:26.5303861-05:00	28/120	PASS	llm=0	eval=0
